Month,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Date/Time Event Began,Date/Time Restoration
March,Oklahoma,SPP RE,Vandalism,0,0,2019,2019-03-19 22:53:00,2019-03-19 22:54:00
March,Utah,WECC,Vandalism,0,0,2019,2019-03-21 10:00:00,2019-03-21 10:05:00
March,Oregon,WECC,Actual Physical Attack,5,Unknown,2019,2019-03-25 07:47:00,2019-03-25 07:48:00
March,California,WECC,Suspicious Activity,0,0,2019,2019-03-29 23:36:00,2019-03-30 02:00:00
April,Nevada,WECC,Actual Physical Attack,0,0,2019,2019-04-01 14:15:00,2019-04-06 17:20:00
April,New York,NPCC,System Operations,0,0,2019,2019-04-01 06:51:00,2019-04-01 07:53:00
April,New York,NPCC,System Operations,0,0,2019,2019-04-01 06:51:00,2019-04-01 07:53:00
April,California,WECC,Vandalism,0,0,2019,2019-04-02 08:33:00,2019-04-02 09:00:00
April,Utah,WECC,Vandalism,0,0,2019,2019-04-02 10:15:00,2019-04-02 10:16:00
April,California,WECC,Fuel Supply Deficiency,0,0,2019,2019-04-03 05:15:00,2019-04-03 12:39:00
April,Montana,WECC,Transmission Interruption,0,0,2019,2019-04-04 10:13:00,2019-04-04 12:08:00
April,Texas,TRE,Severe Weather,537,231956,2019,2019-04-07 13:46:00,2019-04-08 17:50:00
April,Virginia,SERC,Suspicious Activity,0,0,2019,2019-04-10 11:59:00,2019-04-10 12:00:00
April,Oregon,WECC,Transmission Interruption,0,0,2019,2019-04-11 19:48:00,2019-04-11 20:00:00
April,Minnesota,MRO,Transmission Interruption,0,0,2019,2019-04-12 11:20:00,2019-04-12 12:46:00
April,Mississippi,SERC,Severe Weather,Unknown,60467,2019,2019-04-13 18:15:00,2019-04-13 23:15:00
April,Virginia,SERC,Severe Weather,Unknown,75290,2019,2019-04-15 04:35:00,2019-04-15 14:40:00
April,Minnesota,MRO,Vandalism,0,0,2019,2019-04-15 10:00:00,2019-04-15 14:00:00
April,California,WECC,Vandalism,0,0,2019,2019-04-16 10:30:00,2019-04-16 11:00:00
April,Arizona,WECC,System Operations,0,0,2019,2019-04-17 19:38:00,2019-04-17 23:52:00
April,Colorado,WECC,Transmission Interruption,0,0,2019,2019-04-18 20:08:00,2019-04-19 11:00:00
April,Alabama,SERC,Severe Weather,116,34695,2019,2019-04-18 19:55:00,2019-04-19 17:29:00
April,Utah,WECC,Vandalism,0,0,2019,2019-04-21 10:40:00,2019-04-21 10:45:00
April,Arizona,WECC,Generation Inadequacy,150,51366,2019,2019-04-25 18:03:00,2019-04-25 18:32:00
April,Pennsylvania,RF,Transmission Interruption,7,5830,2019,2019-04-26 01:00:00,2019-04-26 13:27:00
April,North Carolina,SERC,Severe Weather,Unknown,54071,2019,2019-04-26 17:46:00,2019-04-27 11:49:00
April,Massachusetts,NPCC,Severe Weather/Transmission Interruption,0,0,2019,2019-04-26 15:16:00,2019-04-26 15:17:00
April,South Carolina,SERC,System Operations,0,0,2019,2019-04-28 13:40:00,2019-04-28 14:49:00
April,Ohio,RF,Transmission Interruption,0,0,2019,2019-04-28 10:43:00,2019-04-29 02:06:00
April,Virginia,SERC,Vandalism,0,0,2019,2019-04-29 17:17:00,2019-04-30 09:22:00
April,Indiana,RF,System Operations,0,0,2019,2019-04-30 12:25:00,2019-04-30 13:11:00
May,Pennsylvania,RF,Transmission Interruption,29,1,2019,2019-05-08 09:22:00,2019-05-08 09:56:00
May,Louisiana,SPP RE,Severe Weather/Distribution Interruption,Unknown,65844,2019,2019-05-08 15:50:00,2019-05-13 00:00:00
May,Texas,TRE,Severe Weather,691,238015,2019,2019-05-09 17:55:00,2019-05-11 20:50:00
May,Texas,TRE,Severe Weather/Transmission Interruption,0,0,2019,2019-05-09 19:06:00,2019-05-10 02:57:00
May,Texas,TRE,Severe Weather,Unknown,61008,2019,2019-05-10 02:00:00,2019-05-10 12:15:00
May,California,WECC,Vandalism,0,0,2019,2019-05-11 14:08:00,2019-05-11 15:00:00
May,West Virginia,RF,Suspicious Activity,Unknown,Unknown,2019,2019-05-15 12:10:00,2019-05-15 12:11:00
May,Texas,TRE,Severe Weather,Unknown,68000,2019,2019-05-18 15:45:00,2019-05-20 04:00:00
May,Colorado,WECC,Vandalism,30,0,2019,2019-05-18 01:55:00,2019-05-18 15:06:00
May,Virginia,SERC,Severe Weather,Unknown,100000,2019,2019-05-23 16:55:00,2019-05-23 23:40:00
May,Indiana,RF,Severe Weather/Transmission Interruption,0,0,2019,2019-05-23 01:11:00,2019-05-23 12:00:00
May,Kentucky,SERC,System Operations,0,0,2019,2019-05-24 07:28:00,2019-05-24 08:30:00
May,North Dakota,MRO,System Operations,0,0,2019,2019-05-24 20:09:00,2019-05-25 14:23:00
May,California,WECC,Severe Weather,20,10961,2019,2019-05-24 21:47:00,2019-05-24 23:58:00
May,Ohio,RF,Severe Weather/Transmission Interruption,347,70000,2019,2019-05-27 22:07:00,2019-05-28 03:00:00
June,California,WECC,Severe Weather/Transmission Interruption,Unknown,Unknown,2019,2019-06-02 18:19:00,2019-06-02 20:43:00
June,Nevada,WECC,Suspicious Activity,0,0,2019,2019-06-04 10:15:00,2019-06-04 13:15:00
June,Idaho,WECC,Vandalism,0,0,2019,2019-06-05 08:37:00,2019-06-05 08:40:00
June,South Dakota,MRO,Vandalism,0,0,2019,2019-06-05 10:16:00,2019-06-05 10:17:00
June,California,WECC,Vandalism,0,0,2019,2019-06-05 09:46:00,2019-06-05 12:00:00
June,Texas,TRE,Severe Weather,Unknown,55017,2019,2019-06-06 18:09:00,2019-06-06 18:35:00
June,Texas,TRE,Transmission Interruption,8,1,2019,2019-06-07 14:43:00,2019-06-07 16:20:00
June,Texas,TRE,Transmission Interruption,0,0,2019,2019-06-08 15:50:00,2019-06-08 19:40:00
June,Texas,TRE,Severe Weather,Unknown,558000,2019,2019-06-09 14:45:00,2019-06-13 22:30:00
June,North Dakota,MRO,Vandalism,0,0,2019,2019-06-11 15:11:00,2019-06-11 17:00:00
June,Utah,WECC,Vandalism,0,0,2019,2019-06-11 07:52:00,2019-06-11 07:53:00
June,California,WECC,Generation Inadequacy,982,30907,2019,2019-06-12 14:56:00,2019-06-12 15:50:00
June,Texas,TRE,Severe Weather,Unknown,340000,2019,2019-06-16 02:00:00,2019-06-17 23:59:00
June,Oklahoma,SPP RE,Severe Weather/Transmission Interruption,Unknown,Unknown,2019,2019-06-16 03:25:00,
June,Washington,WECC,Suspicious Activity,0,0,2019,2019-06-18 06:21:00,2019-06-18 06:40:00
June,Oklahoma,SPP RE,Vandalism,0,0,2019,2019-06-19 11:00:00,2019-06-19 11:01:00
June,Arkansas,SPP RE,Severe Weather,Unknown,82045,2019,2019-06-19 22:30:00,2019-06-20 19:00:00
June,Nevada,WECC,Vandalism,0,0,2019,2019-06-19 15:00:00,
June,Virginia,SERC,Severe Weather,Unknown,60000,2019,2019-06-20 16:11:00,2019-06-21 12:45:00
June,Maine,NPCC,System Operations,0,0,2019,2019-06-21 18:36:00,2019-06-21 19:27:00
June,Kentucky,SERC,Severe Weather,Unknown,50000,2019,2019-06-21 19:15:00,
June,California,WECC,Vandalism,0,0,2019,2019-06-21 10:00:00,2019-06-21 11:00:00
