Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
March,03/13/2019,11:29:00,03/14/2019,21:11:00,Colorado: Jefferson County;,WECC,Severe Weather,58,58379,2019
March,03/13/2019,05:50:00,03/13/2019,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,Severe Weather,Unknown,154124,2019
March,03/13/2019,15:00:00,03/14/2019,00:00:00,Texas: Kansas: Oklahoma:,TRE,Severe Weather/Transmission Interruption,Unknown,66000,2019
March,03/13/2019,06:12:00,03/13/2019,06:13:00,California: Los Angeles County;,WECC,Vandalism,0,0,2019
March,03/19/2019,22:53:00,03/19/2019,22:54:00,Oklahoma:,SPP RE,Vandalism,0,0,2019
March,03/21/2019,10:00:00,03/21/2019,10:05:00,Utah: Salt Lake County;,WECC,Vandalism,0,0,2019
March,03/25/2019,07:47:00,03/25/2019,07:48:00,Oregon: Lane County;,WECC,Actual Physical Attack,5,Unknown,2019
March,03/29/2019,23:36:00,03/30/2019,02:00:00,"California: San Diego County, Los Angeles County;",WECC,Suspicious Activity,0,0,2019
April,04/01/2019,14:15:00,04/06/2019,17:20:00,"Nevada: Carson City, Consolidated Municipality of[19], Washoe County, Churchill County;",WECC,Actual Physical Attack,0,0,2019
April,04/01/2019,06:51:00,04/01/2019,07:53:00,New York: Broome County;,NPCC,System Operations,0,0,2019
April,04/01/2019,06:51:00,04/01/2019,07:53:00,New York: Monroe County;,NPCC,System Operations,0,0,2019
April,04/02/2019,08:33:00,04/02/2019,09:00:00,California: Kern County;,WECC,Vandalism,0,0,2019
April,04/02/2019,10:15:00,04/02/2019,10:16:00,Utah: Salt Lake County;,WECC,Vandalism,0,0,2019
April,04/03/2019,05:15:00,04/03/2019,12:39:00,California: Fresno County;,WECC,Fuel Supply Deficiency,0,0,2019
April,04/04/2019,10:13:00,04/04/2019,12:08:00,Montana:,WECC,Transmission Interruption,0,0,2019
April,04/07/2019,13:46:00,04/08/2019,17:50:00,Texas:,TRE,Severe Weather,537,231956,2019
April,04/10/2019,11:59:00,04/10/2019,12:00:00,Virginia:,SERC,Suspicious Activity,0,0,2019
April,04/11/2019,19:48:00,04/11/2019,20:00:00,Oregon: Washington:,WECC,Transmission Interruption,0,0,2019
April,04/12/2019,11:20:00,04/12/2019,12:46:00,Minnesota: Martin County;,MRO,Transmission Interruption,0,0,2019
April,04/13/2019,18:15:00,04/13/2019,23:15:00,Mississippi: Arkansas: Texas: Louisiana:,SERC,Severe Weather,Unknown,60467,2019
April,04/15/2019,04:35:00,04/15/2019,14:40:00,Virginia:,SERC,Severe Weather,Unknown,75290,2019
April,04/15/2019,10:00:00,04/15/2019,14:00:00,Minnesota:,MRO,Vandalism,0,0,2019
April,04/16/2019,10:30:00,04/16/2019,11:00:00,California: Kern County;,WECC,Vandalism,0,0,2019
April,04/17/2019,19:38:00,04/17/2019,23:52:00,Arizona:,WECC,System Operations,0,0,2019
April,04/18/2019,20:08:00,04/19/2019,11:00:00,Colorado: Clear Creek County;,WECC,Transmission Interruption,0,0,2019
April,04/18/2019,19:55:00,04/19/2019,17:29:00,Alabama: Mississippi: Georgia: Florida:,SERC,Severe Weather,116,34695,2019
April,04/21/2019,10:40:00,04/21/2019,10:45:00,Utah: Salt Lake County;,WECC,Vandalism,0,0,2019
April,04/25/2019,18:03:00,04/25/2019,18:32:00,Arizona: Maricopa County;,WECC,Generation Inadequacy,150,51366,2019
April,04/26/2019,01:00:00,04/26/2019,13:27:00,Pennsylvania:,RF,Transmission Interruption,7,5830,2019
April,04/26/2019,17:46:00,04/27/2019,11:49:00,North Carolina: South Carolina:,SERC,Severe Weather,Unknown,54071,2019
April,04/26/2019,15:16:00,04/26/2019,15:17:00,Massachusetts: Hampden County[13];,NPCC,Severe Weather/Transmission Interruption,0,0,2019
April,04/28/2019,13:40:00,04/28/2019,14:49:00,South Carolina:,SERC,System Operations,0,0,2019
April,04/28/2019,10:43:00,04/29/2019,02:06:00,Ohio:,RF,Transmission Interruption,0,0,2019
April,04/29/2019,17:17:00,04/30/2019,09:22:00,Virginia: Surry County;,SERC,Vandalism,0,0,2019
April,04/30/2019,12:25:00,04/30/2019,13:11:00,Indiana:,RF,System Operations,0,0,2019
May,05/08/2019,09:22:00,05/08/2019,09:56:00,Pennsylvania: Mercer County;,RF,Transmission Interruption,29,1,2019
May,05/08/2019,15:50:00,05/13/2019,00:00:00,Louisiana: Texas:,SPP RE,Severe Weather/Distribution Interruption,Unknown,65844,2019
May,05/09/2019,17:55:00,05/11/2019,20:50:00,Texas: Harris County;,TRE,Severe Weather,691,238015,2019
May,05/09/2019,19:06:00,05/10/2019,02:57:00,Texas: Harris County;,TRE,Severe Weather/Transmission Interruption,0,0,2019
May,05/10/2019,02:00:00,05/10/2019,12:15:00,Texas:,TRE,Severe Weather,Unknown,61008,2019
May,05/11/2019,14:08:00,05/11/2019,15:00:00,California: Kern County;,WECC,Vandalism,0,0,2019
May,05/15/2019,12:10:00,05/15/2019,12:11:00,West Virginia:,RF,Suspicious Activity,Unknown,Unknown,2019
May,05/18/2019,15:45:00,05/20/2019,04:00:00,"Texas: Ector County, Midland County, Tarrant County, Dallas County, Stephens County, Anderson County, McLennan County, Ellis County, Hunt County, Young County, Bell County, Limestone County, Collin County, Rockwall County, Henderson County, Parker County, Falls County, Freestone County, Kaufman County, Grayson County, Smith County;",TRE,Severe Weather,Unknown,68000,2019
May,05/18/2019,01:55:00,05/18/2019,15:06:00,Colorado: Wyoming: Nebraska: Utah: Daggett County; New Mexico:,WECC,Vandalism,30,0,2019
May,05/23/2019,16:55:00,05/23/2019,23:40:00,Virginia:,SERC,Severe Weather,Unknown,100000,2019
May,05/23/2019,01:11:00,05/23/2019,12:00:00,Indiana:,RF,Severe Weather/Transmission Interruption,0,0,2019
May,05/24/2019,07:28:00,05/24/2019,08:30:00,Kentucky: Shelby County;,SERC,System Operations,0,0,2019
May,05/24/2019,20:09:00,05/25/2019,14:23:00,North Dakota: Minnesota:,MRO,System Operations,0,0,2019
May,05/24/2019,21:47:00,05/24/2019,23:58:00,California:,WECC,Severe Weather,20,10961,2019
May,05/27/2019,22:07:00,05/28/2019,03:00:00,"Ohio: Montgomery County, Darke County, Mercer County, Miami County, Greene County;",RF,Severe Weather/Transmission Interruption,347,70000,2019
June,06/02/2019,18:19:00,06/02/2019,20:43:00,California:,WECC,Severe Weather/Transmission Interruption,Unknown,Unknown,2019
June,06/04/2019,10:15:00,06/04/2019,13:15:00,Nevada: Washoe County;,WECC,Suspicious Activity,0,0,2019
June,06/05/2019,08:37:00,06/05/2019,08:40:00,Idaho: Bannock County;,WECC,Vandalism,0,0,2019
June,06/05/2019,10:16:00,06/05/2019,10:17:00,South Dakota: Lincoln County;,MRO,Vandalism,0,0,2019
June,06/05/2019,09:46:00,06/05/2019,12:00:00,California: Kern County;,WECC,Vandalism,0,0,2019
June,06/06/2019,18:09:00,06/06/2019,18:35:00,Texas: Bexar County;,TRE,Severe Weather,Unknown,55017,2019
June,06/07/2019,14:43:00,06/07/2019,16:20:00,Texas: Pecos County;,TRE,Transmission Interruption,8,1,2019
June,06/08/2019,15:50:00,06/08/2019,19:40:00,Texas: Potter County;,TRE,Transmission Interruption,0,0,2019
June,06/09/2019,14:45:00,06/13/2019,22:30:00,"Texas: Collin County, Dallas County, Denton County, Palo Pinto County, Tarrant County, Ellis County, Williamson County;",TRE,Severe Weather,Unknown,558000,2019
June,06/11/2019,15:11:00,06/11/2019,17:00:00,"North Dakota: Mountrail County, Williams County;",MRO,Vandalism,0,0,2019
June,06/11/2019,07:52:00,06/11/2019,07:53:00,Utah:,WECC,Vandalism,0,0,2019
June,06/12/2019,14:56:00,06/12/2019,15:50:00,"California: Imperial County, Riverside County;",WECC,Generation Inadequacy,982,30907,2019
June,06/16/2019,02:00:00,06/17/2019,23:59:00,"Texas: Dallas County, Tarrant County, Collin County, Denton County;",TRE,Severe Weather,Unknown,340000,2019
June,06/16/2019,03:25:00,Unknown,Unknown,Oklahoma:,SPP RE,Severe Weather/Transmission Interruption,Unknown,Unknown,2019
June,06/18/2019,06:21:00,06/18/2019,06:40:00,Washington: Grant County;,WECC,Suspicious Activity,0,0,2019
June,06/19/2019,11:00:00,06/19/2019,11:01:00,Oklahoma:,SPP RE,Vandalism,0,0,2019
June,06/19/2019,22:30:00,06/20/2019,19:00:00,Arkansas:,SPP RE,Severe Weather,Unknown,82045,2019
June,06/19/2019,15:00:00,Unknown,Unknown,Nevada: Clark County;,WECC,Vandalism,0,0,2019
June,06/20/2019,16:11:00,06/21/2019,12:45:00,Virginia:,SERC,Severe Weather,Unknown,60000,2019
June,06/21/2019,18:36:00,06/21/2019,19:27:00,Maine:,NPCC,System Operations,0,0,2019
June,06/21/2019,19:15:00,Unknown,Unknown,Kentucky: Tennessee:,SERC,Severe Weather,Unknown,50000,2019
June,06/21/2019,10:00:00,06/21/2019,11:00:00,California: Kern County;,WECC,Vandalism,0,0,2019
June,06/22/2019,20:46:00,06/23/2019,00:30:00,Alabama: Georgia:,SERC,Severe Weather,115,34637,2019
June,06/23/2019,22:00:00,06/25/2019,23:00:00,"Texas: Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",TRE,Severe Weather,Unknown,265000,2019
June,06/23/2019,05:13:00,06/23/2019,10:58:00,Arkansas:,SPP RE,Transmission Interruption,47,16199,2019
June,06/24/2019,09:40:00,06/24/2019,15:17:00,Oklahoma: Oklahoma County;,SPP RE,System Operations,0,0,2019
June,06/24/2019,05:30:00,06/24/2019,08:45:00,Arkansas:,SPP RE,Severe Weather,Unknown,56451,2019
June,06/26/2019,13:58:00,06/26/2019,14:03:00,North Dakota: Williams County;,MRO,Transmission Interruption,53,0,2019
June,06/28/2019,14:25:00,Unknown,Unknown,Idaho: Nez Perce County;,WECC,Transmission Interruption,0,0,2019
June,06/30/2019,15:15:00,06/30/2019,16:15:00,"New York: Nassau County, Suffolk County;",NPCC,Severe Weather,3189,52498,2019
June,06/30/2019,15:30:00,06/30/2019,20:30:00,"Illinois: Cook County, DeKalb County, DuPage County, Grundy County, Iroquois County, Ford County, Lake County, Kendall County, Kankakee County, Kane County, Ogle County;",SERC,Severe Weather,Unknown,100000,2019
July,07/02/2019,13:00:00,07/02/2019,13:22:00,Idaho: Ada County;,WECC,Vandalism,0,0,2019
July,07/06/2019,22:00:00,07/07/2019,13:57:00,Mississippi: Panola County;,SERC,Vandalism,Unknown,3000,2019
July,07/09/2019,01:59:00,07/09/2019,15:50:00,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Vandalism,0,0,2019
July,07/10/2019,12:10:00,07/12/2019,12:30:00,"Texas: Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",TRE,Severe Weather,Unknown,57000,2019
July,07/10/2019,12:00:00,07/10/2019,12:15:00,Utah: Salt Lake County;,WECC,Vandalism,0,0,2019
July,07/11/2019,11:08:00,07/11/2019,11:13:00,Texas: Lynn County;,TRE,Transmission Interruption,26,2043,2019
July,07/13/2019,23:55:00,07/14/2019,13:00:00,"Louisiana: Acadia Parish, Avoyelles Parish, Catahoula Parish, Evangeline Parish, Grant Parish, Iberia Parish, LaSalle Parish, Natchitoches Parish, Rapides Parish, Sabine Parish, St. Landry Parish, St. Martin Parish, St. Mary Parish, St. Tammany Parish, Allen Parish, Beauregard Parish, Calcasieu Parish, Vermilion Parish, De Soto Parish, Jefferson Davis Parish, Red River Parish, Tangipahoa Parish, Vernon Parish, Washington Parish;",SERC,Severe Weather,Unknown,63000,2019
