,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
853,June,06/14/2021,02:10:00,06/14/2021,02:11:00,Utah,WECC,Suspicious Activity,0,0,2021
854,June,06/15/2021,11:55:00,06/15/2021,21:17:00,Texas,TRE,Cyber Event,Unknown,Unknown,2021
855,June,06/15/2021,11:30:00,06/15/2021,13:35:00,Kansas,MRO,System Operations,0,0,2021
856,June,06/16/2021,10:40:00,06/16/2021,10:43:00,Louisiana,SERC,Transmission Interruption,7,1841,2021
857,June,06/16/2021,04:10:00,06/16/2021,06:39:00,Maine,NPCC,System Operations,0,0,2021
858,June,06/16/2021,10:25:00,06/16/2021,15:16:00,Florida,SERC,Vandalism,0,0,2021
859,June,06/19/2021,18:54:00,06/19/2021,21:01:00,California,WECC,System Operations,93,51806,2021
860,June,06/21/2021,15:50:00,06/21/2021,16:50:00,Arkansas,SERC,Suspicious Activity,0,0,2021
861,June,06/21/2021,05:14:00,06/21/2021,19:00:00,Michigan,RF,Severe Weather,Unknown,151852,2021
862,June,06/23/2021,15:47:00,06/23/2021,16:44:00,Missouri,SERC,System Operations,0,0,2021
863,June,06/24/2021,03:34:00,06/24/2021,05:07:00,California,WECC,Transmission Interruption,36,7621,2021
864,June,06/24/2021,07:07:00,06/24/2021,13:48:00,Washington,SERC,Vandalism,0,0,2021
865,June,06/27/2021,20:10:00,06/27/2021,21:30:00,North Dakota,MRO,Vandalism,4,1003,2021
866,June,06/27/2021,02:27:00,06/27/2021,03:30:00,New York,NPCC,Vandalism,Unknown,982,2021
867,June,06/28/2021,13:20:00,Unknown,Unknown,Washington,WECC,Severe Weather,44,Unknown,2021
868,June,06/28/2021,11:22:00,Unknown,Unknown,North Carolina,SERC,Transmission Interruption,0,0,2021
869,June,06/29/2021,16:00:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,53000,2021
870,June,06/30/2021,18:50:00,Unknown,Unknown,Connecticut,NPCC,Severe Weather,Unknown,53103,2021
871,July,07/03/2021,23:08:00,07/04/2021,02:16:00,New Mexico,WECC,Vandalism,45,34509,2021
872,July,07/04/2021,15:33:00,07/04/2021,20:32:00,Washington,WECC,Natural Disaster,0,0,2021
873,July,07/05/2021,05:32:00,07/05/2021,08:58:00,New York,NPCC,Transmission Interruption,0,0,2021
874,July,07/05/2021,14:04:00,07/05/2021,14:41:00,Ohio,RF/SERC,Transmission Interruption,0,0,2021
875,July,07/06/2021,19:41:00,07/06/2021,21:50:00,Ohio,RF,Severe Weather/Transmisison Interruption,Unknown,136827,2021
876,July,07/07/2021,00:02:00,07/07/2021,00:20:00,Florida,SERC,Transmission Interruption,450,0,2021
877,July,07/07/2021,15:30:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,90000,2021
878,July,07/08/2021,17:01:00,07/08/2021,17:24:00,New York,NPCC,Severe Weather/Transmisison Interruption,0,0,2021
879,July,07/08/2021,20:29:00,07/08/2021,20:33:00,North Dakota,MRO,Severe Weather/Transmisison Interruption,88,0,2021
880,July,07/09/2021,17:44:00,07/09/2021,21:05:00,California,WECC,Fuel Supply Deficiency,810,Unknown,2021
881,July,07/09/2021,20:25:00,07/10/2021,21:00:00,California,WECC,Severe Weather,230,47000,2021
882,July,07/10/2021,00:30:00,07/10/2021,05:00:00,Nebraska,MRO/SERC,Severe Weather/Transmisison Interruption,Unknown,211500,2021
883,July,07/10/2021,00:00:00,07/11/2021,16:00:00,Nebraska,MRO,Severe Weather,Unknown,188000,2021
884,July,07/10/2021,01:55:00,07/10/2021,01:56:00,Missouri,SERC,Severe Weather,Unknown,52000,2021
885,July,07/10/2021,18:00:00,07/10/2021,21:00:00,Nevada,WECC,Transmission Interruption,9000,1300000,2021
886,July,07/10/2021,00:30:00,07/10/2021,05:00:00,Missouri,MRO/SERC,Severe Weather/Transmisison Interruption,Unknown,212500,2021
887,July,07/11/2021,18:00:00,07/11/2021,21:00:00,Nevada,WECC,Transmission Interruption,9000,1300000,2021
888,July,07/12/2021,15:51:00,07/13/2021,17:00:00,Colorado,WECC,Sabotage,0,0,2021
889,July,07/14/2021,14:15:00,07/14/2021,14:16:00,California,WECC,Severe Weather/Transmisison Interruption,35,11000,2021
890,July,07/18/2021,04:00:00,07/18/2021,09:46:00,Illinois,RF,Transmission Interruption,0,0,2021
891,July,07/20/2021,16:21:00,07/20/2021,17:00:00,Ohio,RF,System Operations,0,0,2021
892,July,07/21/2021,14:45:00,07/22/2021,12:00:00,Pennsylvania,RF,Severe Weather,Unknown,81503,2021
893,July,07/22/2021,14:00:00,07/22/2021,14:40:00,California,WECC,System Operations,220,0,2021
894,July,07/23/2021,08:09:00,07/23/2021,08:30:00,Minnesota,MRO/RF,System Operations,15,3500,2021
895,July,07/23/2021,08:20:00,07/23/2021,10:45:00,Virginia,RF/SERC,System Operations,0,0,2021
896,July,07/24/2021,20:30:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,225949,2021
897,July,07/26/2021,07:54:00,Unknown,Unknown,Nevada,WECC,Vandalism,0,0,2021
898,July,07/28/2021,12:54:00,07/28/2021,15:42:00,Maine,NPCC,System Operations,0,0,2021
899,July,07/30/2021,08:02:00,07/30/2021,09:34:00,Wisconsin,MRO,Cyber Event,0,0,2021
900,August,08/01/2021,09:00:00,08/04/2021,09:00:00,Nevada,WECC,Vandalism,0,0,2021
901,August,08/01/2021,23:37:00,08/02/2021,00:00:00,California,WECC,Severe Weather,95,65888,2021
902,August,08/02/2021,06:23:00,08/02/2021,15:55:00,Texas,TRE,Severe Weather/Transmission Interruption,43,19000,2021
903,August,08/02/2021,00:18:00,08/02/2021,10:47:00,Texas,TRE,Severe Weather/Transmission Interruption,24,9400,2021
904,August,08/03/2021,07:05:00,08/03/2021,07:32:00,Texas,TRE,Suspicious Activity,0,0,2021
905,August,08/03/2021,04:35:00,08/03/2021,05:28:00,Oregon,WECC,System Operations,4,Unknown,2021
906,August,08/10/2021,22:30:00,08/13/2021,16:38:00,Michigan,RF,Severe Weather,Unknown,372600,2021
907,August,08/10/2021,20:30:00,08/11/2021,19:00:00,Illinois,RF/SERC,Severe Weather,Unknown,318761,2021
908,August,08/10/2021,20:00:00,Unknown,Unknown,Wisconsin,RF/SERC,Severe Weather,Unknown,233000,2021
909,August,08/11/2021,15:35:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,700000,2021
910,August,08/11/2021,19:12:00,08/11/2021,21:49:00,Ohio,RF,Severe Weather,Unknown,92109,2021
911,August,08/12/2021,18:57:00,08/13/2021,06:00:00,Illinois,RF/SERC,Severe Weather,Unknown,101000,2021
912,August,08/12/2021,22:03:00,08/12/2021,22:44:00,Massachusetts,NPCC,System Operations,0,0,2021
913,August,08/15/2021,17:17:00,08/16/2021,03:30:00,California,WECC,Actual Physical Attack,0,0,2021
914,August,08/16/2021,16:11:00,08/16/2021,16:31:00,Montana,WECC,Vandalism,0,0,2021
915,August,08/17/2021,19:15:00,08/18/2021,17:45:00,California,WECC,Severe Weather,234,71000,2021
916,August,08/17/2021,14:00:00,08/18/2021,14:00:00,California,WECC,Vandalism,Unknown,0,2021
917,August,08/18/2021,11:40:00,08/18/2021,12:13:00,Texas,TRE,System Operations,0,0,2021
918,August,08/20/2021,15:35:00,08/20/2021,16:35:00,California,WECC,Vandalism,0,0,2021
919,August,08/20/2021,02:00:00,08/20/2021,03:00:00,Oregon,WECC,Vandalism,0,0,2021
920,August,08/21/2021,10:14:00,08/21/2021,10:52:00,Idaho,WECC,Severe Weather,0,418,2021
921,August,08/22/2021,12:11:00,08/23/2021,16:30:00,Connecticut,NPCC,Severe Weather,Unknown,28134,2021
922,August,08/24/2021,21:37:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,65000,2021
923,August,08/24/2021,17:00:00,08/26/2021,14:07:00,Michigan,RF,Severe Weather,Unknown,84987,2021
924,August,08/27/2021,06:16:00,08/27/2021,10:14:00,Arkansas,SERC,Suspicious Activity,0,0,2021
925,August,08/29/2021,11:30:00,Unknown,Unknown,Louisiana,SERC,Severe Weather,Unknown,Unknown,2021
926,August,08/29/2021,18:04:00,08/31/2021,22:36:00,Louisiana,SERC,Severe Weather,Unknown,Unknown,2021
927,August,08/29/2021,18:00:00,09/03/2021,13:41:00,Louisiana,SERC,Severe Weather,Unknown,91315,2021
928,August,08/29/2021,22:39:00,09/03/2021,08:38:00,Louisiana,SERC,Severe Weather,Unknown,50000,2021
929,August,08/29/2021,20:25:00,Unknown,Unknown,New York,NPCC,Transmission Interruption,796,0,2021
930,August,08/29/2021,09:32:00,08/29/2021,21:32:00,Louisiana,SERC,Transmission Interruption,Unknown,Unknown,2021
931,August,08/29/2021,17:53:00,Unknown,Unknown,Louisiana,SERC,Severe Weather,Unknown,Unknown,2021
932,August,08/30/2021,21:17:00,09/01/2021,15:19:00,Florida,SERC,Actual Physical Attack,0,0,2021
933,September,09/01/2021,06:22:00,09/01/2021,15:56:00,California,WECC,Vandalism,0,0,2021
934,September,09/01/2021,17:30:00,09/02/2021,02:00:00,Pennsylvania,RF,Severe Weather,Unknown,252740,2021
935,September,09/02/2021,14:07:00,09/02/2021,14:10:00,Texas,TRE,Suspicious Activity,0,0,2021
936,September,09/07/2021,17:30:00,09/09/2021,09:00:00,Michigan,RF,Severe Weather,Unknown,80000,2021
937,September,09/07/2021,20:00:00,09/09/2021,07:00:00,Michigan,RF,Severe Weather,Unknown,60000,2021
938,September,09/08/2021,12:15:00,09/08/2021,12:38:00,North Dakota,MRO,Transmission Interruption,37,1,2021
939,September,09/09/2021,16:00:00,09/09/2021,17:30:00,California,WECC,Vandalism,0,0,2021
940,September,09/09/2021,17:00:00,09/09/2021,20:00:00,Nevada,WECC,System Operations,8000,1300000,2021
941,September,09/10/2021,11:17:00,09/10/2021,11:19:00,North Dakota,MRO,Transmission Interruption,6,1,2021
942,September,09/10/2021,14:05:00,Unknown,Unknown,Iowa,MRO,Vandalism,0,0,2021
943,September,09/10/2021,07:20:00,09/10/2021,09:05:00,California,WECC,Severe Weather,89,59649,2021
944,September,09/10/2021,01:55:00,09/10/2021,02:04:00,Florida,SERC,Severe Weather,75,Unknown,2021
945,September,09/11/2021,08:32:00,Unknown,Unknown,Texas,TRE/SERC,Actual Physical Attack,0,0,2021
946,September,09/13/2021,12:18:00,09/13/2021,13:15:00,Washington,WECC,Transmission Interruption,0,0,2021
947,September,09/13/2021,23:59:00,Unknown,Unknown,Texas,TRE,Severe Weather,Unknown,204280,2021
948,September,09/13/2021,13:10:00,Unknown,Unknown,Texas,TRE,Transmission Interruption,0,0,2021
949,September,09/13/2021,18:00:00,09/14/2021,00:49:00,Texas,TRE,Severe Weather,Unknown,66589,2021
950,September,09/14/2021,00:35:00,09/18/2021,19:20:00,Texas,TRE,Severe Weather,1905,705415,2021
951,September,09/14/2021,07:36:00,09/15/2021,01:48:00,Texas,TRE,Severe Weather,0,Unknown,2021
952,September,09/14/2021,07:52:00,09/14/2021,22:44:00,Texas,TRE,Severe Weather,0,Unknown,2021
953,September,09/15/2021,22:42:00,09/16/2021,00:37:00,Texas,TRE/SERC/WECC,System Operations,0,0,2021
954,September,09/16/2021,14:49:00,09/16/2021,20:02:00,Oklahoma,MRO/SERC,Transmission Interruption,100,4000,2021
955,September,09/16/2021,14:49:00,09/16/2021,20:02:00,Oklahoma,MRO/SERC,Transmission Interruption,100,4000,2021
956,September,09/17/2021,23:00:00,09/19/2021,12:00:00,Washington,WECC,Severe Weather/Transmission Interruption,Unknown,87000,2021
957,September,09/17/2021,03:50:00,09/18/2021,04:08:00,Indiana,RF,Suspicious Activity,0,0,2021
958,September,09/17/2021,03:00:00,09/18/2021,22:00:00,Minnesota,MRO,Severe Weather,Unknown,82000,2021
959,September,09/18/2021,04:30:00,09/18/2021,06:00:00,Indiana,RF,Suspicious Activity,0,0,2021
960,September,09/22/2021,17:17:00,Unknown,Unknown,Michigan,RF,Severe Weather,Unknown,136000,2021
961,September,09/22/2021,09:36:00,09/23/2021,11:45:00,California,WECC,Vandalism,1,0,2021
962,September,09/28/2021,13:44:00,09/28/2021,13:56:00,Kentucky,SERC,Transmission Interruption,20,5000,2021
963,September,09/29/2021,11:48:00,09/29/2021,12:21:00,Missouri,MRO/SERC,System Operations,150,0,2021
964,October,10/03/2021,10:40:00,10/03/2021,11:54:00,Texas,TRE,Suspicious Activity,0,0,2021
965,October,10/04/2021,07:00:00,10/04/2021,08:00:00,Utah,WECC,Vandalism,Unknown,0,2021
966,October,10/05/2021,11:31:00,10/05/2021,11:32:00,California,WECC,Vandalism,0,0,2021
967,October,10/05/2021,11:31:00,10/05/2021,11:32:00,California,WECC,Vandalism,0,0,2021
968,October,10/07/2021,17:15:00,10/09/2021,18:15:00,Maryland,RF,Vandalism,0,0,2021
969,October,10/08/2021,06:30:00,10/08/2021,10:00:00,California,WECC,Vandalism,0,0,2021
970,October,10/08/2021,14:30:00,10/08/2021,18:32:00,Ohio,RF,System Operations,210,0,2021
971,October,10/09/2021,17:01:00,10/10/2021,06:30:00,North Carolina,SERC,System Operations,0,0,2021
972,October,10/10/2021,22:15:00,10/12/2021,17:00:00,Texas,TRE,Severe Weather,Unknown,110000,2021
973,October,10/11/2021,14:22:00,10/11/2021,20:30:00,California,WECC,Severe Weather,126,84000,2021
974,October,10/12/2021,20:08:00,10/12/2021,20:09:00,Illinois,RF,Suspicious Activity,0,0,2021
975,October,10/16/2021,14:16:00,10/16/2021,18:41:00,Oregon,WECC,Transmission Interruption,Unknown,Unknown,2021
976,October,10/18/2021,22:18:00,10/18/2021,23:30:00,Pennsylvania,RF,System Operations,0,0,2021
977,October,10/18/2021,23:26:00,10/19/2021,15:00:00,Pennsylvania,RF,Suspicious Activity,0,0,2021
978,October,10/18/2021,23:27:00,10/19/2021,10:05:00,Georgia,SERC,Suspicious Activity,0,0,2021
979,October,10/18/2021,22:26:00,10/19/2021,08:19:00,Missouri,SERC/MRO,Suspicious Activity,0,0,2021
980,October,10/18/2021,11:47:00,10/18/2021,11:48:00,Florida,SERC,Vandalism,0,0,2021
981,October,10/19/2021,15:34:00,10/19/2021,16:26:00,Ohio,RF,System Operations,42,1,2021
982,October,10/20/2021,23:00:00,10/21/2021,01:20:00,Wisconsin,MRO/RF,System Operations,0,0,2021
983,October,10/22/2021,19:55:00,10/23/2021,05:55:00,Louisiana,SERC,System Operations,132,0,2021
984,October,10/24/2021,08:55:00,10/25/2021,18:15:00,California,WECC,Severe Weather,116,59000,2021
985,October,10/24/2021,07:00:00,10/26/2021,21:30:00,Washington,WECC,Severe Weather,Unknown,233000,2021
986,October,10/27/2021,17:57:00,10/28/2021,16:49:00,Louisiana,SERC,System Operations,0,0,2021
987,October,10/27/2021,02:25:00,10/29/2021,08:37:00,Connecticut,NPCC,Severe Weather,Unknown,169000,2021
988,October,10/28/2021,12:47:00,10/28/2021,13:05:00,Montana,WECC,System Operations,20,0,2021
989,October,10/28/2021,14:15:00,10/30/2021,08:00:00,Texas,TRE,Severe Weather,Unknown,250000,2021
990,October,10/28/2021,14:45:00,10/29/2021,20:30:00,Texas,TRE,Severe Weather,Unknown,130000,2021
991,October,10/28/2021,12:06:00,10/28/2021,12:30:00,Texas,TRE,Actual Physical Attack/Vandalism,Unknown,Unknown,2021
992,October,10/29/2021,14:20:00,10/29/2021,15:00:00,Vermont,NPCC,Suspicious Activity,0,0,2021
993,October,10/30/2021,07:31:00,Unknown,Unknown,New Jersey,RF,Suspicious Activity,Unknown,Unknown,2021
994,October,10/31/2021,07:49:00,10/31/2021,09:32:00,California,WECC,Vandalism,0,0,2021
995,November,11/04/2021,21:34:00,11/04/2021,22:57:00,Montana,WECC,System Operations,44,Unknown,2021
996,November,11/06/2021,06:45:00,11/06/2021,07:00:00,Pennsylvania,RF,Suspicious Activity,0,0,2021
997,November,11/06/2021,08:40:00,11/06/2021,08:41:00,Washington,WECC,Suspicious Activity,Unknown,350,2021
998,November,11/08/2021,22:53:00,11/08/2021,23:33:00,Washington,WECC,System Operations,9,Unknown,2021
999,November,11/09/2021,18:00:00,11/09/2021,20:00:00,Mississippi,SERC,System Operations,Unknown,Unknown,2021
1000,November,11/09/2021,08:50:00,11/09/2021,16:00:00,Indiana,RF,Vandalism,0,0,2021
1001,November,11/10/2021,21:19:00,11/11/2021,01:19:00,Texas,TRE,Transmission Interruption,0,0,2021
1002,November,11/10/2021,09:49:00,11/10/2021,10:05:00,New York,NPCC,Transmission Interruption,0,0,2021
1003,November,11/11/2021,05:52:00,11/11/2021,06:09:00,Texas,TRE,System Operations,67,Unknown,2021
1004,November,11/12/2021,07:00:00,11/12/2021,07:14:00,Oregon,WECC,Vandalism,0,0,2021
1005,November,11/15/2021,11:47:00,Unknown,Unknown,Colorado,WECC,Suspicious Activity,0,0,2021
1006,November,11/15/2021,11:00:00,11/17/2021,06:00:00,Washington,WECC,Severe Weather,Unknown,90000,2021
1007,November,11/16/2021,00:42:00,11/16/2021,07:35:00,California,WECC,Suspicious Activity,0,0,2021
1008,November,11/16/2021,17:37:00,11/16/2021,18:21:00,Maryland,RF,System Operations,0,0,2021
1009,November,11/17/2021,12:43:00,11/17/2021,13:25:00,Michigan,RF,System Operations,0,0,2021
1010,November,11/17/2021,13:12:00,Unknown,Unknown,Colorado,WECC,Vandalism,0,0,2021
1011,November,11/21/2021,10:00:00,11/21/2021,10:01:00,Wisconsin,MRO/RF,Cyber Event,0,0,2021
1012,November,11/24/2021,10:00:00,11/26/2021,10:21:00,California,WECC,Severe Weather,Unknown,81406,2021
1013,November,11/30/2021,06:46:00,11/30/2021,06:47:00,North Carolina,SERC,System Operations,0,0,2021
1014,November,11/30/2021,06:52:00,11/30/2021,07:25:00,Texas,TRE,Suspicious Activity,0,0,2021
1015,November,11/30/2021,13:47:00,11/30/2021,14:21:00,California,WECC,System Operations,10,6000,2021
1016,November,11/30/2021,05:00:00,11/30/2021,05:01:00,Oregon,WECC,Vandalism,0,0,2021
1017,December,12/01/2021,10:04:00,12/01/2021,13:08:00,Wisconsin,MRO,System Operations,0,0,2021
1018,December,12/02/2021,10:33:00,12/02/2021,13:10:00,Texas,TRE,System Operations,0,0,2021
1019,December,12/07/2021,14:33:00,12/07/2021,15:40:00,Indiana,RF,Transmission Interruption,0,0,2021
1020,December,12/08/2021,09:04:00,12/08/2021,09:35:00,New York,NPCC,System Operations,0,0,2021
1021,December,12/10/2021,12:06:00,12/10/2021,13:07:00,Idaho,WECC,Vandalism,0,0,2021
1022,December,12/11/2021,03:13:00,12/15/2021,15:30:00,Tennessee,SERC,Severe Weather,177,107344,2021
1023,December,12/11/2021,18:16:00,12/13/2021,17:00:00,New York,NPCC,Severe Weather,Unknown,103000,2021
1024,December,12/11/2021,11:13:00,12/12/2021,23:06:00,Michigan,MRO,Severe Weather,Unknown,182410,2021
1025,December,12/11/2021,10:30:00,12/11/2021,15:00:00,Michigan,MRO,Severe Weather,Unknown,159947,2021
1026,December,12/12/2021,06:14:00,12/12/2021,06:40:00,Louisiana,SERC,Vandalism,36,Unknown,2021
1027,December,12/14/2021,07:28:00,12/14/2021,13:43:00,California,WECC,Severe Weather,120,65994,2021
1028,December,12/14/2021,09:39:00,12/14/2021,09:48:00,Washington,WECC,System Operations,0,0,2021
1029,December,12/15/2021,19:00:00,12/16/2021,03:00:00,Kansas,MRO,Severe Weather,Unknown,174000,2021
1030,December,12/15/2021,18:00:00,12/16/2021,09:00:00,Iowa,MRO,Severe Weather,Unknown,134000,2021
1031,December,12/15/2021,16:37:00,12/16/2021,11:30:00,Missouri,SERC/MRO,Severe Weather,0,258000,2021
1032,December,12/15/2021,20:00:00,Unknown,Unknown,Wisconsin,MRO,Severe Weather,Unknown,80000,2021
1033,December,12/15/2021,20:00:00,Unknown,Unknown,Wisconsin,MRO,Severe Weather,Unknown,156000,2021
1034,December,12/15/2021,21:00:00,Unknown,Unknown,Iowa,MRO,Severe Weather,Unknown,Unknown,2021
1035,December,12/15/2021,15:56:00,12/15/2021,17:27:00,Nebraska,MRO,System Operations,5,Unknown,2021
1036,December,12/15/2021,16:37:00,Unknown,Unknown,Missouri,SERC/MRO,Severe Weather,Unknown,Unknown,2021
1037,December,12/16/2021,06:00:00,12/16/2021,20:00:00,Michigan,MRO,Severe Weather,Unknown,200675,2021
1038,December,12/18/2021,13:04:00,12/18/2021,21:59:00,California,WECC,Suspicious Activity,10,11770,2021
1039,December,12/19/2021,20:48:00,12/19/2021,21:00:00,Texas,TRE,Suspicious Activity,0,0,2021
1040,December,12/21/2021,21:59:00,12/22/2021,14:15:00,Texas,TRE,System Operations,22,Unknown,2021
1041,December,12/23/2021,01:10:00,12/23/2021,01:15:00,Pennsylvania,RF,Suspicious Activity,0,0,2021
1042,December,12/23/2021,14:02:00,12/23/2021,14:55:00,Massachusetts,NPCC,System Operations,0,0,2021
1043,December,12/24/2021,00:34:00,12/24/2021,06:40:00,Texas,TRE,System Operations,Unknown,Unknown,2021
1044,December,12/27/2021,04:11:00,01/01/2022,02:41:00,California,WECC,Severe Weather,381,115830,2021
1045,December,12/27/2021,21:01:00,12/30/2021,09:11:00,California,WECC,System Operations,120,65994,2021
1046,December,12/29/2021,11:00:00,12/29/2021,12:00:00,Nevada,WECC,System Operations,0,0,2021
1047,December,12/30/2021,18:51:00,Unknown,Unknown,Missouri,SERC,Vandalism,0,0,2021
1048,January,01/01/2022,12:36:00,01/01/2022,14:12:00,Washington,WECC,System Operations,0,0,2022
1049,January,01/01/2022,12:36:00,01/02/2022,19:43:00,Washington,WECC,System Operations,0,0,2022
1050,January,01/01/2022,01:01:00,Unknown,Unknown,Georgia,SERC,Vandalism,0,0,2022
1051,January,01/01/2022,00:06:00,01/01/2022,05:51:00,New Hampshire,NPCC,Suspicious Activity,2,845,2022
1052,January,01/02/2022,13:21:00,01/02/2022,17:38:00,California,WECC,Severe Weather,3,1706,2022
1053,January,01/03/2022,12:45:00,01/03/2022,12:46:00,Washington,WECC,Vandalism,0,0,2022
1054,January,01/03/2022,05:00:00,01/04/2022,18:00:00,South Carolina,SERC,Severe Weather,Unknown,60424,2022
1055,January,01/03/2022,05:30:00,01/04/2022,12:30:00,North Carolina,SERC,Severe Weather,Unknown,142000,2022
1056,January,01/03/2022,01:00:00,01/03/2022,14:00:00,Georgia,SERC,Severe Weather,283,40885,2022
1057,January,01/05/2022,12:32:00,01/05/2022,12:45:00,Massachusetts,NPCC,System Operations,0,0,2022
1058,January,01/08/2022,02:20:00,01/12/2022,07:40:00,Florida,SERC,Vandalism,0,0,2022
1059,January,01/08/2022,18:07:00,01/08/2022,22:26:00,New Hampshire,NPCC,Suspicious Activity,0,0,2022
1060,January,01/08/2022,02:56:00,01/08/2022,03:03:00,Texas,TRE,System Operations,0,0,2022
1061,January,01/09/2022,18:08:00,Unknown,Unknown,Mississippi,SERC,System Operations,Unknown,Unknown,2022
1062,January,01/12/2022,09:20:00,01/12/2022,10:25:00,Indiana,SERC/RF,System Operations,Unknown,Unknown,2022
1063,January,01/13/2022,16:00:00,01/13/2022,16:01:00,Massachusetts,NPCC,Suspicious Activity,0,0,2022
1064,January,01/14/2022,13:50:00,01/14/2022,14:13:00,Pennsylvania,NPCC,Suspicious Activity,0,0,2022
1065,January,01/14/2022,08:34:00,01/14/2022,08:42:00,Texas,TRE/WECC,Transmission Interruption,0,0,2022
1066,January,01/15/2022,14:09:00,01/15/2022,14:28:00,New York,NPCC,Suspicious Activity,0,0,2022
1067,January,01/16/2022,12:05:00,01/17/2022,08:45:00,North Carolina,SERC,Severe Weather,Unknown,51289,2022
1068,January,01/16/2022,13:15:00,01/16/2022,17:15:00,North Carolina,SERC,Severe Weather,Unknown,74638,2022
1069,January,01/16/2022,05:15:00,01/17/2022,00:06:00,Georgia,SERC,Severe Weather,436,61113,2022
1070,January,01/18/2022,22:22:00,01/18/2022,22:23:00,Texas,TRE,Cyber Event,0,0,2022
1071,January,01/19/2022,14:35:00,01/19/2022,16:02:00,Maine,NPCC,System Operations,0,0,2022
1072,January,01/20/2022,19:57:00,01/21/2022,05:30:00,Mississippi,TRE/SERC,Severe Weather,0,0,2022
1073,January,01/20/2022,09:00:00,01/20/2022,09:59:00,Maine,NPCC,System Operations,0,0,2022
1074,January,01/23/2022,00:37:00,01/23/2022,00:42:00,Pennsylvania,RF,Suspicious Activity,0,0,2022
1075,January,01/24/2022,10:27:00,01/24/2022,10:51:00,Washington,WECC,System Operations,0,0,2022
1076,January,01/24/2022,11:50:00,01/24/2022,16:00:00,New York,NPCC,Sabotage,0,0,2022
1077,January,01/26/2022,13:37:00,01/26/2022,14:15:00,Florida,SERC,System Operations,0,0,2022
1078,January,01/27/2022,11:30:00,01/27/2022,11:31:00,Nevada,WECC,Vandalism,0,0,2022
1079,January,01/28/2022,15:41:00,01/28/2022,21:30:00,Colorado,WECC,Transmission Interruption,0,0,2022
1080,January,01/29/2022,08:45:00,01/30/2022,01:00:00,Connecticut,NPCC,Severe Weather,120,12000,2022
1081,January,01/30/2022,20:41:00,01/31/2022,00:42:00,Nebraska,MRO,System Operations,0,0,2022
1082,January,01/31/2022,19:58:00,01/31/2022,20:10:00,West Virginia,RF,Suspicious Activity,0,0,2022
1083,February,02/01/2022,12:13:00,02/01/2022,12:25:00,California,WECC,System Operations,10,8124,2022
1084,February,02/03/2022,10:00:00,02/07/2022,20:00:00,Tennessee,SERC,Severe Weather/Transmission Interruption,Unknown,255000,2022
1085,February,02/03/2022,12:56:00,02/04/2022,20:30:00,Ohio,RF,Severe Weather/Transmission Interruption,Unknown,51000,2022
1086,February,02/03/2022,12:56:00,Unknown,Unknown,Ohio,RF,Severe Weather/Transmission Interruption,Unknown,51000,2022
1087,February,02/04/2022,18:21:00,02/04/2022,22:00:00,Texas,TRE,Transmission Interruption,Unknown,Unknown,2022
1088,February,02/04/2022,13:10:00,Unknown,Unknown,New York,NPCC,Severe Weather/Transmission Interruption,Unknown,67404,2022
1089,February,02/09/2022,07:00:00,02/09/2022,09:00:00,New York,NPCC,Vandalism,0,0,2022
1090,February,02/12/2022,16:29:00,02/12/2022,16:30:00,California,WECC,Vandalism,Unknown,Unknown,2022
1091,February,02/17/2022,10:30:00,02/17/2022,10:31:00,Rhode Island,NPCC,Suspicious Activity,0,0,2022
1092,February,02/17/2022,00:09:00,02/17/2022,07:36:00,Louisiana,SERC,System Operations,80,0,2022
1093,February,02/18/2022,07:10:00,02/18/2022,16:25:00,Connecticut,NPCC,Severe Weather,7,7047,2022
1094,February,02/22/2022,11:10:00,02/22/2022,12:15:00,Texas,TRE,Suspicious Activity,0,0,2022
1095,February,02/24/2022,10:25:00,02/24/2022,10:31:00,Texas,TRE,Transmission Interruption,3,1405,2022
1096,February,02/24/2022,01:09:00,02/24/2022,02:59:00,California,WECC,System Operations,246,0,2022
1097,February,02/25/2022,09:31:00,02/25/2022,13:09:00,Texas,TRE,System Operations,0,0,2022
1098,February,02/26/2022,11:15:00,02/26/2022,17:00:00,Washington,WECC,Actual Physical Attack,0,0,2022
1099,February,02/28/2022,09:25:00,02/28/2022,09:26:00,Texas,TRE,Vandalism,0,0,2022
1100,March,03/01/2022,13:43:00,03/01/2022,13:47:00,Indiana,RF,System Operations,0,0,2022
1101,March,03/02/2022,09:26:00,03/02/2022,10:05:00,North Carolina,SERC,System Operations,0,0,2022
1102,March,03/05/2022,22:58:00,03/06/2022,19:38:00,Illinois,SERC/RF,System Operations,0,0,2022
1103,March,03/06/2022,02:30:00,03/06/2022,17:00:00,Texas,TRE,Cyber Event,0,0,2022
1104,March,03/08/2022,13:50:00,03/08/2022,14:39:00,Georgia,TRE,System Operations,48,5855,2022
1105,March,03/10/2022,08:51:00,03/10/2022,15:15:00,Nebraska,MRO,Transmission Interruption,0,0,2022
