Month,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Date/Time Event Began,Date/Time Restoration,Event Duration (hours)
January,Washington,WECC,System Operations,0.0,,2019,2019-01-05 13:19:00,2019-01-05 15:07:00,1.8
January,Washington,WECC,Severe Weather,230.0,230000.0,2019,2019-01-06 03:00:00,2019-01-09 07:00:00,4.0
January,California,WECC,Severe Weather,300.0,90382.0,2019,2019-01-06 17:56:00,2019-01-06 21:52:00,3.93
January,Washington,WECC,Severe Weather,,230000.0,2019,2019-01-06 01:00:00,2019-01-06 12:00:00,11.0
January,Michigan,RF,System Operations,0.0,0.0,2019,2019-01-07 20:57:00,2019-01-07 21:32:00,0.58
January,New Mexico,WECC,Suspicious Activity,0.0,0.0,2019,2019-01-09 11:55:00,2019-01-09 11:56:00,0.02
January,Montana,WECC,System Operations,11.0,2.0,2019,2019-01-10 12:19:00,2019-01-10 12:48:00,0.48
January,Maine,RF,System Operations,0.0,0.0,2019,2019-01-11 11:36:00,2019-01-11 12:43:00,1.12
January,Missouri,SPP RE,Severe Weather,,112530.0,2019,2019-01-12 11:30:00,2019-01-13 22:00:00,10.5
January,Missouri,SERC,Severe Weather,,116600.0,2019,2019-01-12 11:30:00,,
January,New Hampshire,NPCC,System Operations,0.0,0.0,2019,2019-01-12 19:20:00,2019-01-12 21:38:00,2.3
January,North Carolina,SERC,Severe Weather,133200.0,,2019,2019-01-13 05:30:00,2019-01-15 17:00:00,11.5
January,Michigan,RF,Actual Physical Attack,,,2019,2019-01-14 11:10:00,,
January,Pennsylvania,RF,Vandalism,0.0,0.0,2019,2019-01-15 08:00:00,2019-01-15 08:02:00,0.03
January,California,WECC,Severe Weather,190.0,126700.0,2019,2019-01-16 17:26:00,2019-01-17 12:19:00,18.88
January,Texas,TRE,System Operations,0.0,0.0,2019,2019-01-16 05:19:00,2019-01-16 07:14:00,1.92
January,Nebraska,MRO,Transmission Interruption,8.0,,2019,2019-01-18 21:54:00,2019-01-19 00:19:00,2.42
January,Colorado,WECC,System Operations,0.0,0.0,2019,2019-01-23 07:26:00,2019-01-23 17:05:00,9.65
January,Ohio,RF,System Operations,0.0,0.0,2019,2019-01-24 04:39:00,2019-01-24 05:16:00,0.62
January,Utah,WECC,Actual Physical Attack,0.0,0.0,2019,2019-01-28 13:35:00,2019-01-28 13:40:00,0.08
January,Louisiana,SERC,Transmission Interruption,,,2019,2019-01-29 18:34:00,2019-01-29 18:36:00,0.03
January,Washington,WECC,Vandalism,0.0,0.0,2019,2019-01-30 16:30:00,,
January,Illinois,SERC,Fuel Supply Deficiency,,,2019,2019-01-30 04:23:00,2019-02-02 09:00:00,4.62
January,Michigan,RF,Severe Weather,,,2019,2019-01-30 09:30:00,2019-01-31 18:00:00,8.5
January,Illinois,SERC,Severe Weather,,,2019,2019-01-30 07:00:00,2019-01-30 08:08:00,1.13
January,California,WECC,Vandalism,0.0,0.0,2019,2019-01-31 21:33:00,2019-01-31 21:34:00,0.02
February,Nevada,WECC,Vandalism,,1.0,2019,2019-02-01 23:57:00,2019-02-02 08:49:00,8.87
February,Massachusetts,NPCC,System Operations,0.0,0.0,2019,2019-02-01 05:35:00,2019-02-01 06:10:00,0.58
February,California,WECC,Vandalism,0.0,0.0,2019,2019-02-02 10:28:00,2019-02-02 10:29:00,0.02
February,California,WECC,Severe Weather,42.0,33200.0,2019,2019-02-05 18:17:00,2019-02-05 20:26:00,2.15
February,Arkansas,SERC,Severe Weather/Transmission Interruption,3.0,3370.0,2019,2019-02-07 07:39:00,2019-02-07 07:40:00,0.02
February,Michigan,RF,Severe Weather,,233000.0,2019,2019-02-07 08:55:00,2019-02-09 16:30:00,7.58
February,Pennsylvania,RF,Vandalism,0.0,0.0,2019,2019-02-08 10:00:00,2019-02-08 10:30:00,0.5
February,Washington,WECC,Severe Weather,,50940.0,2019,2019-02-08 18:30:00,,
February,California,WECC,Severe Weather,182.0,121000.0,2019,2019-02-13 02:48:00,2019-02-15 00:28:00,21.67
February,New Jersey,RF,Vandalism,0.0,0.0,2019,2019-02-14 08:50:00,2019-02-14 12:10:00,3.33
February,Utah,WECC,Vandalism,0.0,0.0,2019,2019-02-14 12:15:00,2019-02-14 12:16:00,0.02
February,Texas,TRE,Vandalism,0.0,0.0,2019,2019-02-19 09:45:00,,
February,"Wisconsin, Minnesota, Iowa, Illinois",MRO,System Operations,740.0,0.0,2019,2019-02-20 12:50:00,2019-02-20 13:32:00,0.7
February,Virginia,SERC,Severe Weather/Transmission Interruption,,,2019,2019-02-23 14:05:00,,
February,Pennsylvania,RF,Severe Weather,,132000.0,2019,2019-02-24 18:00:00,2019-02-25 22:00:00,4.0
February,"Ohio, Virginia, West Virginia",RF,Severe Weather,,118781.0,2019,2019-02-24 11:21:00,2019-02-26 17:29:00,6.13
February,Pennsylvania,RF,Severe Weather,,137216.0,2019,2019-02-24 18:47:00,2019-02-25 13:55:00,19.13
February,Ohio,RF,Severe Weather,,157274.0,2019,2019-02-24 12:31:00,2019-02-24 14:57:00,2.43
February,Pennsylvania,RF,Severe Weather,,94048.0,2019,2019-02-24 14:33:00,2019-02-24 18:03:00,3.5
February,Michigan,RF,Severe Weather,,115000.0,2019,2019-02-24 20:02:00,2019-02-25 14:30:00,18.47
February,Massachusetts,NPCC,Transmission Interruption,0.0,0.0,2019,2019-02-25 07:45:00,2019-02-25 18:40:00,10.92
February,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,Severe Weather,,72332.0,2019,2019-02-25 13:35:00,2019-02-26 02:50:00,13.25
February,Iowa,MRO,Transmission Interruption,0.0,0.0,2019,2019-02-27 11:25:00,2019-02-27 17:39:00,6.23
February,South Carolina,SERC,Suspicious Activity,0.0,0.0,2019,2019-02-27 21:35:00,2019-02-27 21:45:00,0.17
February,"Oklahoma, Arkansas, Louisiana",SPP RE,System Operations,0.0,0.0,2019,2019-02-28 07:02:00,2019-02-28 07:33:00,0.52
March,Oklahoma,SPP RE,Vandalism,0.0,0.0,2019,2019-03-04 11:39:00,2019-03-08 16:52:00,5.22
March,California,WECC,System Operations,0.0,0.0,2019,2019-03-05 09:12:00,2019-03-05 18:57:00,9.75
March,Texas,TRE,Severe Weather/Transmission Interruption,50.0,54290.0,2019,2019-03-13 15:51:00,2019-03-16 18:00:00,2.15
March,Colorado,WECC,Severe Weather,58.0,58379.0,2019,2019-03-13 11:29:00,2019-03-14 21:11:00,9.7
March,Texas,TRE,Severe Weather,,154124.0,2019,2019-03-13 05:50:00,2019-03-13 10:30:00,4.67
March,Texas,TRE,Severe Weather/Transmission Interruption,,66000.0,2019,2019-03-13 15:00:00,2019-03-14 00:00:00,9.0
March,California,WECC,Vandalism,0.0,0.0,2019,2019-03-13 06:12:00,2019-03-13 06:13:00,0.02
March,Oklahoma,SPP RE,Vandalism,0.0,0.0,2019,2019-03-19 22:53:00,2019-03-19 22:54:00,0.02
March,Utah,WECC,Vandalism,0.0,0.0,2019,2019-03-21 10:00:00,2019-03-21 10:05:00,0.08
March,Oregon,WECC,Actual Physical Attack,5.0,,2019,2019-03-25 07:47:00,2019-03-25 07:48:00,0.02
March,California,WECC,Suspicious Activity,0.0,0.0,2019,2019-03-29 23:36:00,2019-03-30 02:00:00,2.4
April,Nevada,WECC,Actual Physical Attack,0.0,0.0,2019,2019-04-01 14:15:00,2019-04-06 17:20:00,3.08
April,New York,NPCC,System Operations,0.0,0.0,2019,2019-04-01 06:51:00,2019-04-01 07:53:00,1.03
April,New York,NPCC,System Operations,0.0,0.0,2019,2019-04-01 06:51:00,2019-04-01 07:53:00,1.03
April,California,WECC,Vandalism,0.0,0.0,2019,2019-04-02 08:33:00,2019-04-02 09:00:00,0.45
April,Utah,WECC,Vandalism,0.0,0.0,2019,2019-04-02 10:15:00,2019-04-02 10:16:00,0.02
April,California,WECC,Fuel Supply Deficiency,0.0,0.0,2019,2019-04-03 05:15:00,2019-04-03 12:39:00,7.4
April,Montana,WECC,Transmission Interruption,0.0,0.0,2019,2019-04-04 10:13:00,2019-04-04 12:08:00,1.92
April,Texas,TRE,Severe Weather,537.0,231956.0,2019,2019-04-07 13:46:00,2019-04-08 17:50:00,4.07
April,Virginia,SERC,Suspicious Activity,0.0,0.0,2019,2019-04-10 11:59:00,2019-04-10 12:00:00,0.02
April,Oregon,WECC,Transmission Interruption,0.0,0.0,2019,2019-04-11 19:48:00,2019-04-11 20:00:00,0.2
April,Minnesota,MRO,Transmission Interruption,0.0,0.0,2019,2019-04-12 11:20:00,2019-04-12 12:46:00,1.43
April,Mississippi,SERC,Severe Weather,,60467.0,2019,2019-04-13 18:15:00,2019-04-13 23:15:00,5.0
April,Virginia,SERC,Severe Weather,,75290.0,2019,2019-04-15 04:35:00,2019-04-15 14:40:00,10.08
April,Minnesota,MRO,Vandalism,0.0,0.0,2019,2019-04-15 10:00:00,2019-04-15 14:00:00,4.0
April,California,WECC,Vandalism,0.0,0.0,2019,2019-04-16 10:30:00,2019-04-16 11:00:00,0.5
April,Arizona,WECC,System Operations,0.0,0.0,2019,2019-04-17 19:38:00,2019-04-17 23:52:00,4.23
April,Colorado,WECC,Transmission Interruption,0.0,0.0,2019,2019-04-18 20:08:00,2019-04-19 11:00:00,14.87
April,Alabama,SERC,Severe Weather,116.0,34695.0,2019,2019-04-18 19:55:00,2019-04-19 17:29:00,21.57
April,Utah,WECC,Vandalism,0.0,0.0,2019,2019-04-21 10:40:00,2019-04-21 10:45:00,0.08
April,Arizona,WECC,Generation Inadequacy,150.0,51366.0,2019,2019-04-25 18:03:00,2019-04-25 18:32:00,0.48
April,Pennsylvania,RF,Transmission Interruption,7.0,5830.0,2019,2019-04-26 01:00:00,2019-04-26 13:27:00,12.45
April,North Carolina,SERC,Severe Weather,,54071.0,2019,2019-04-26 17:46:00,2019-04-27 11:49:00,18.05
April,Massachusetts,NPCC,Severe Weather/Transmission Interruption,0.0,0.0,2019,2019-04-26 15:16:00,2019-04-26 15:17:00,0.02
April,South Carolina,SERC,System Operations,0.0,0.0,2019,2019-04-28 13:40:00,2019-04-28 14:49:00,1.15
April,Ohio,RF,Transmission Interruption,0.0,0.0,2019,2019-04-28 10:43:00,2019-04-29 02:06:00,15.38
April,Virginia,SERC,Vandalism,0.0,0.0,2019,2019-04-29 17:17:00,2019-04-30 09:22:00,16.08
