Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
March,California,Vandalism,0.0,0.0,2019-03-13 06:12:00,2019-03-13 06:13:00,0.02,2019
March,Oklahoma,Vandalism,0.0,0.0,2019-03-19 22:53:00,2019-03-19 22:54:00,0.02,2019
March,Utah,Vandalism,0.0,0.0,2019-03-21 10:00:00,2019-03-21 10:05:00,0.08,2019
March,Oregon,Actual Physical Attack,5.0,,2019-03-25 07:47:00,2019-03-25 07:48:00,0.02,2019
March,California,Suspicious Activity,0.0,0.0,2019-03-29 23:36:00,2019-03-30 02:00:00,2.4,2019
April,Nevada,Actual Physical Attack,0.0,0.0,2019-04-01 14:15:00,2019-04-06 17:20:00,123.08,2019
April,New York,System Operations,0.0,0.0,2019-04-01 06:51:00,2019-04-01 07:53:00,1.03,2019
April,New York,System Operations,0.0,0.0,2019-04-01 06:51:00,2019-04-01 07:53:00,1.03,2019
April,California,Vandalism,0.0,0.0,2019-04-02 08:33:00,2019-04-02 09:00:00,0.45,2019
April,Utah,Vandalism,0.0,0.0,2019-04-02 10:15:00,2019-04-02 10:16:00,0.02,2019
April,California,Fuel Supply Deficiency,0.0,0.0,2019-04-03 05:15:00,2019-04-03 12:39:00,7.4,2019
April,Montana,Transmission Interruption,0.0,0.0,2019-04-04 10:13:00,2019-04-04 12:08:00,1.92,2019
April,Texas,Severe Weather,537.0,231956.0,2019-04-07 13:46:00,2019-04-08 17:50:00,28.07,2019
April,Virginia,Suspicious Activity,0.0,0.0,2019-04-10 11:59:00,2019-04-10 12:00:00,0.02,2019
April,Oregon,Transmission Interruption,0.0,0.0,2019-04-11 19:48:00,2019-04-11 20:00:00,0.2,2019
April,Minnesota,Transmission Interruption,0.0,0.0,2019-04-12 11:20:00,2019-04-12 12:46:00,1.43,2019
April,Mississippi,Severe Weather,,60467.0,2019-04-13 18:15:00,2019-04-13 23:15:00,5.0,2019
April,Virginia,Severe Weather,,75290.0,2019-04-15 04:35:00,2019-04-15 14:40:00,10.08,2019
April,Minnesota,Vandalism,0.0,0.0,2019-04-15 10:00:00,2019-04-15 14:00:00,4.0,2019
April,California,Vandalism,0.0,0.0,2019-04-16 10:30:00,2019-04-16 11:00:00,0.5,2019
April,Arizona,System Operations,0.0,0.0,2019-04-17 19:38:00,2019-04-17 23:52:00,4.23,2019
April,Colorado,Transmission Interruption,0.0,0.0,2019-04-18 20:08:00,2019-04-19 11:00:00,14.87,2019
April,Alabama,Severe Weather,116.0,34695.0,2019-04-18 19:55:00,2019-04-19 17:29:00,21.57,2019
April,Utah,Vandalism,0.0,0.0,2019-04-21 10:40:00,2019-04-21 10:45:00,0.08,2019
