Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
May,05/09/2019,17:55:00,05/11/2019,20:50:00,Texas,TRE,Severe Weather,691,238015,2019
May,05/09/2019,19:06:00,05/10/2019,02:57:00,Texas,TRE,Severe Weather/Transmission Interruption,0,0,2019
May,05/11/2019,14:08:00,05/11/2019,15:00:00,California,WECC,Vandalism,0,0,2019
May,05/18/2019,01:55:00,05/18/2019,15:06:00,Colorado,WECC,Vandalism,30,0,2019
May,05/23/2019,01:11:00,05/23/2019,12:00:00,Indiana,RF,Severe Weather/Transmission Interruption,0,0,2019
May,05/24/2019,07:28:00,05/24/2019,08:30:00,Kentucky,SERC,System Operations,0,0,2019
May,05/24/2019,20:09:00,05/25/2019,14:23:00,Dakota,MRO,System Operations,0,0,2019
May,05/24/2019,21:47:00,05/24/2019,23:58:00,California,WECC,Severe Weather,20,10961,2019
May,05/27/2019,22:07:00,05/28/2019,03:00:00,Ohio,RF,Severe Weather/Transmission Interruption,347,70000,2019
June,06/04/2019,10:15:00,06/04/2019,13:15:00,Nevada,WECC,Suspicious Activity,0,0,2019
June,06/05/2019,08:37:00,06/05/2019,08:40:00,Idaho,WECC,Vandalism,0,0,2019
June,06/05/2019,10:16:00,06/05/2019,10:17:00,Dakota,MRO,Vandalism,0,0,2019
June,06/05/2019,09:46:00,06/05/2019,12:00:00,California,WECC,Vandalism,0,0,2019
June,06/07/2019,14:43:00,06/07/2019,16:20:00,Texas,TRE,Transmission Interruption,8,1,2019
June,06/08/2019,15:50:00,06/08/2019,19:40:00,Texas,TRE,Transmission Interruption,0,0,2019
June,06/11/2019,15:11:00,06/11/2019,17:00:00,Dakota,MRO,Vandalism,0,0,2019
June,06/11/2019,07:52:00,06/11/2019,07:53:00,Utah,WECC,Vandalism,0,0,2019
June,06/12/2019,14:56:00,06/12/2019,15:50:00,California,WECC,Generation Inadequacy,982,30907,2019
June,06/18/2019,06:21:00,06/18/2019,06:40:00,Washington,WECC,Suspicious Activity,0,0,2019
June,06/19/2019,11:00:00,06/19/2019,11:01:00,Oklahoma,SPP RE,Vandalism,0,0,2019
June,06/21/2019,18:36:00,06/21/2019,19:27:00,Maine,NPCC,System Operations,0,0,2019
June,06/21/2019,10:00:00,06/21/2019,11:00:00,California,WECC,Vandalism,0,0,2019
June,06/22/2019,20:46:00,06/23/2019,00:30:00,Alabama,SERC,Severe Weather,115,34637,2019
June,06/23/2019,05:13:00,06/23/2019,10:58:00,Arkansas,SPP RE,Transmission Interruption,47,16199,2019
June,06/24/2019,09:40:00,06/24/2019,15:17:00,Oklahoma,SPP RE,System Operations,0,0,2019
June,06/26/2019,13:58:00,06/26/2019,14:03:00,Dakota,MRO,Transmission Interruption,53,0,2019
June,06/30/2019,15:15:00,06/30/2019,16:15:00,York,NPCC,Severe Weather,3189,52498,2019
July,07/02/2019,13:00:00,07/02/2019,13:22:00,Idaho,WECC,Vandalism,0,0,2019
July,07/09/2019,01:59:00,07/09/2019,15:50:00,Texas,SPP RE,Vandalism,0,0,2019
July,07/10/2019,12:00:00,07/10/2019,12:15:00,Utah,WECC,Vandalism,0,0,2019
July,07/11/2019,11:08:00,07/11/2019,11:13:00,Texas,TRE,Transmission Interruption,26,2043,2019
July,07/13/2019,18:47:00,07/13/2019,23:37:00,York,NPCC,Transmission Interruption,452,72669,2019
July,07/17/2019,14:12:00,07/17/2019,14:30:00,Oklahoma,SPP RE,Suspicious Activity,0,0,2019
July,07/20/2019,07:37:00,07/20/2019,09:20:00,Missouri,SERC,Suspicious Activity,0,0,2019
July,07/20/2019,11:55:00,07/23/2019,00:00:00,Wisconsin,RF,Severe Weather,200,50000,2019
July,07/21/2019,23:00:00,07/22/2019,20:54:00,York,NPCC,Severe Weather,60,45000,2019
July,07/22/2019,17:50:00,07/25/2019,13:15:00,Jersey,RF,Severe Weather,49,95600,2019
July,07/23/2019,23:55:00,07/23/2019,23:56:00,Nebraska,MRO,Transmission Interruption,0,0,2019
July,07/23/2019,23:55:00,07/24/2019,05:22:00,Nebraska,MRO,Transmission Interruption,0,0,2019
July,07/23/2019,15:39:00,07/23/2019,19:00:00,Massachusetts,NPCC,Severe Weather,54,54535,2019
July,07/24/2019,08:01:00,07/24/2019,12:49:00,Maine,NPCC,System Operations,0,0,2019
July,07/28/2019,18:48:00,07/28/2019,19:18:00,Michigan,RF,System Operations,0,0,2019
August,08/02/2019,18:24:00,08/02/2019,19:28:00,Washington,WECC,System Operations,0,0,2019
August,08/02/2019,01:49:00,08/02/2019,01:55:00,Minnesota,MRO,Transmission Interruption,0,0,2019
August,08/07/2019,15:00:00,08/07/2019,15:30:00,California,WECC,Vandalism,0,0,2019
August,08/07/2019,09:30:00,08/07/2019,11:15:00,Maine,NPCC,System Operations,0,0,2019
August,08/09/2019,09:53:00,08/09/2019,10:46:00,Texas,TRE,Suspicious Activity,0,0,2019
August,08/10/2019,16:11:00,08/10/2019,16:46:00,Michigan,RF,System Operations,0,0,2019
August,08/10/2019,19:59:00,08/10/2019,21:04:00,Michigan,RF,System Operations,0,0,2019
August,08/13/2019,10:00:00,08/13/2019,11:00:00,California,WECC,Vandalism,0,0,2019
August,08/15/2019,23:03:00,08/16/2019,00:37:00,California,WECC,Distribution Interruption,80,61318,2019
August,08/15/2019,11:00:00,08/15/2019,15:30:00,Kentucky,SERC,Vandalism,0,0,2019
August,08/15/2019,03:07:00,08/15/2019,03:56:00,Columbia,RF,System Operations,0,0,2019
August,08/18/2019,16:47:00,08/18/2018,23:00:00,Texas,TRE,Distribution Interruption,752,86373,2019
August,08/18/2019,16:30:00,08/18/2019,22:00:00,Texas,TRE,Transmission Interruption/Distribution Interruption,259,61000,2019
August,08/18/2019,15:59:00,08/18/2019,23:00:00,Louisiana,SPP RE,Transmission Interruption,271,86373,2019
August,08/24/2019,16:10:00,08/24/2019,19:28:00,Washington,WECC,Suspicious Activity,0,0,2019
August,08/25/2019,01:44:00,08/25/2019,02:20:00,Washington,WECC,Suspicious Activity,0,0,2019
August,08/26/2019,09:09:00,08/26/2019,13:34:00,Dakota,MRO,Transmission Interruption,0,0,2019
August,08/29/2019,23:30:00,08/30/2019,17:30:00,Michigan,RF,System Operations,0,0,2019
August,08/31/2019,15:05:00,08/31/2019,15:46:00,Pennsylvania,RF,System Operations,0,0,2019
August,08/31/2019,16:00:00,09/02/2019,06:00:00,California,WECC,Vandalism,0,0,2019
September,09/04/2019,11:13:00,09/04/2019,11:57:00,Maryland,RF,System Operations,0,0,2019
September,09/05/2019,22:00:00,09/06/2019,12:00:00,Carolina,SERC,Severe Weather,3,2000,2019
September,09/05/2019,10:08:00,09/05/2019,12:08:00,Maine,NPCC,System Operations,0,0,2019
September,09/10/2019,21:22:00,09/10/2019,21:23:00,Wyoming,WECC,Transmission Interruption,885,0,2019
September,09/13/2019,02:31:00,09/16/2019,17:00:00,Tennessee,SERC,System Operations,0,0,2019
September,09/19/2019,18:40:00,09/19/2019,18:46:00,Minnesota,MRO,Vandalism,0,0,2019
September,09/19/2019,05:55:00,09/19/2019,14:30:00,Arizona,WECC,Fuel Supply Deficiency,0,0,2019
September,09/20/2019,00:21:00,09/20/2019,12:04:00,Oklahoma,SPP RE,System Operations,0,0,2019
September,09/24/2019,15:56:00,09/26/2019,19:25:00,Washington,WECC,Vandalism,0,0,2019
September,09/25/2019,17:25:00,09/25/2019,18:16:00,Wisconsin,MRO,Suspicious Activity,0,0,2019
September,09/25/2019,03:47:00,09/25/2019,15:40:00,California,WECC,Severe Weather,25,69524,2019
September,09/26/2019,14:31:00,09/26/2019,15:14:00,Maryland,RF,System Operations,0,0,2019
September,09/30/2019,05:35:00,09/30/2019,08:10:00,Washington,WECC,System Operations,0,0,2019
September,09/30/2019,12:17:00,09/30/2019,12:58:00,Nevada,WECC,Actual Physical Attack,3736,0,2019
September,09/30/2019,10:53:00,09/30/2019,10:54:00,Idaho,WECC,Vandalism,0,0,2019
October,10/03/2019,00:13:00,10/03/2019,04:00:00,Missouri,SERC,Vandalism,0,0,2019
October,10/10/2019,02:06:00,10/10/2019,05:05:00,Maine,NPCC,System Operations,0,0,2019
October,10/10/2019,00:22:00,10/10/2019,02:12:00,Colorado,WECC,System Operations,0,0,2019
October,10/11/2019,10:56:00,10/11/2019,11:46:00,Michigan,RF,System Operations,0,0,2019
October,10/12/2019,15:00:00,10/12/2019,16:21:00,Texas,TRE,Transmission Interruption,0,0,2019
October,10/15/2019,03:19:00,10/15/2019,06:38:00,Ohio,RF,Transmission Interruption,0,0,2019
October,10/15/2019,19:57:00,10/15/2019,20:44:00,Kansas,SPP RE,System Operations,0,0,2019
October,10/19/2019,05:57:00,10/19/2019,13:58:00,Dakota,MRO,Transmission Interruption,0,0,2019
October,10/19/2019,14:00:00,10/19/2019,21:07:00,California,WECC,System Operations,0,0,2019
October,10/23/2019,00:49:00,10/23/2019,04:05:00,York,NPCC,System Operations,0,0,2019
October,10/23/2019,00:49:00,10/23/2019,04:05:00,York,NPCC,System Operations,0,0,2019
October,10/24/2019,17:02:00,10/24/2019,17:09:00,Ohio,RF,Transmission Interruption,0,0,2019
October,10/25/2019,02:53:00,10/25/2019,04:37:00,Carolina,SERC,Suspicious Activity,0,0,2019
October,10/26/2019,18:20:00,10/31/2019,01:27:00,California,WECC,Severe Weather/Transmission Interruption,3190,972000,2019
October,10/26/2019,08:07:00,10/26/2019,08:45:00,Maine,NPCC,System Operations,0,0,2019
October,10/29/2019,13:46:00,10/29/2019,14:49:00,Wisconsin,MRO,System Operations,0,0,2019
October,10/30/2019,06:32:00,11/01/2019,13:29:00,California,WECC,Severe Weather/Distribution Interruption,285,114402,2019
November,11/01/2019,23:45:00,11/02/2019,00:48:00,York,NPCC,System Operations,0,0,2019
November,11/01/2019,23:45:00,11/02/2019,00:48:00,York,NPCC,System Operations,0,0,2019
November,11/03/2019,22:17:00,11/04/2019,11:10:00,Minnesota,MRO,Transmission Interruption,0,0,2019
November,11/05/2019,08:30:00,11/05/2019,16:16:00,Indiana,RF,Vandalism,0,0,2019
November,11/16/2019,16:11:00,11/16/2019,17:01:00,Oregon,WECC,Vandalism,0,0,2019
November,11/16/2019,06:00:00,11/16/2019,17:45:00,Texas,TRE,Suspicious Activity,0,0,2019
November,11/20/2019,09:49:00,11/20/2019,15:20:00,California,WECC,Severe Weather/Transmission Interruption,178,54000,2019
November,11/20/2019,16:55:00,11/20/2019,17:37:00,California,WECC,System Operations,0,0,2019
November,11/22/2019,00:00:00,11/22/2019,01:10:00,York,NPCC,System Operations,0,0,2019
November,11/22/2019,00:00:00,11/22/2019,01:10:00,York,NPCC,System Operations,0,0,2019
November,11/26/2019,18:07:00,11/27/2019,12:27:00,California,WECC,Severe Weather,300,93000,2019
November,11/27/2019,02:44:00,11/27/2019,16:00:00,California,WECC,Vandalism,35,2,2019
November,11/27/2019,12:00:00,11/30/2019,02:00:00,Michigan,RF,Severe Weather,30,107000,2019
November,11/29/2019,00:00:00,12/01/2019,00:00:00,Texas,TRE,Actual Physical Attack,0,0,2019
December,12/03/2019,19:16:00,12/03/2019,19:49:00,Alabama,SERC,System Operations,0,0,2019
December,12/05/2019,16:48:00,12/09/2019,05:16:00,Ohio,RF,System Operations,0,0,2019
